order_item_id,order_id,product_id,quantity,unit_price
oi_001,ord_001,prod_001,2,49.99
oi_002,ord_001,prod_003,1,50.01
oi_003,ord_002,prod_002,1,89.50
oi_004,ord_003,prod_001,3,49.99
oi_005,ord_003,prod_004,1,84.03
oi_006,ord_004,prod_005,1,67.99
oi_007,ord_005,prod_002,2,94.50
oi_008,ord_006,prod_006,1,45.00
oi_009,ord_007,prod_001,2,49.99
oi_010,ord_007,prod_004,2,84.03
oi_011,ord_007,prod_007,1,124.50
oi_012,ord_008,prod_006,1,78.00
oi_013,ord_009,prod_003,2,78.00
oi_014,ord_010,prod_005,1,67.99
oi_015,ord_010,prod_008,1,30.76
oi_016,ord_011,prod_002,1,89.50
oi_017,ord_011,prod_007,1,111.50
oi_018,ord_012,prod_004,1,84.03
oi_019,ord_012,prod_008,1,50.96
oi_020,ord_013,prod_006,1,89.00
oi_021,ord_014,prod_001,2,49.99
oi_022,ord_014,prod_007,1,167.02
oi_023,ord_015,prod_005,1,54.50
oi_024,ord_016,prod_003,1,78.00
oi_025,ord_016,prod_004,1,100.25
oi_026,ord_017,prod_002,1,123.00
oi_027,ord_018,prod_005,1,95.00
oi_028,ord_019,prod_001,2,49.99
oi_029,ord_019,prod_007,1,110.02
oi_030,ord_020,prod_006,1,87.50
